Year,Grade_Level,Assessment,Program,Board,Sex,Adaptation,IPP,Exemption,Eligible,Math_Score,Math_Level
2012-13,6,M,English,HRSB,M,,,,Yes,539,Level 3
2012-13,6,M,English,SRSB,F,,,,Yes,556,Level 3
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2013-14,6,M,English,HRSB,F,,,,Yes,541,Level 3
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,F,,,Yes,No,,Did not participate
2012-13,6,M,English,SSRSB,M,,,,Yes,410,Level 2
2012-13,6,M,English,SSRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,586,Level 3
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,F,Yes,,,Yes,370,Level 1
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,511,Level 3
2012-13,6,M,French Immersion,HRSB,M,,,,Yes,475,Level 3
2012-13,6,M,English,TCRSB,M,,,,Yes,298,Level 1
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,,,Yes,431,Level 2
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,,,Yes,354,Level 1
2012-13,6,M,English,HRSB,M,,,,Yes,482,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,493,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,531,Level 3
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,,,Yes,471,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,489,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,422,Level 2
2012-13,6,M,English,HRSB,F,,,,Yes,512,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,565,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,337,Level 1
2012-13,6,M,English,HRSB,M,,,,Yes,480,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,435,Level 2
2012-13,6,M,English,CBVRSB,F,,,,Yes,426,Level 2
2012-13,6,M,English,HRSB,F,,,,Yes,659,Level 4
2012-13,6,M,English,HRSB,F,,,,Yes,502,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,619,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,523,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,446,Level 3
2012-13,6,M,English,CCRSB,M,,,,Yes,602,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,429,Level 2
2012-13,6,M,English,HRSB,M,Yes,,,Yes,345,Level 1
2012-13,6,M,English,AVRSB,F,,,,Yes,316,Level 1
2012-13,6,M,English,HRSB,M,,,,Yes,320,Level 1
2012-13,6,M,English,HRSB,M,,,,Yes,494,Level 3
2012-13,6,M,English,HRSB,F,Yes,,,Yes,366,Level 1
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,F,,,,Yes,356,Level 1
2012-13,6,M,English,HRSB,M,,,,Yes,426,Level 2
2012-13,6,M,English,AVRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,,,Yes,485,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,424,Level 2
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,482,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,381,Level 2
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,408,Level 2
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CCRSB,M,,,Yes,No,,Did not participate
2012-13,6,M,English,HRSB,F,Yes,,,Yes,,Not enough evidence
2012-13,6,M,English,HRSB,F,,,,Yes,465,Level 3
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,574,Level 3
2012-13,6,M,English,AVRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,Yes,,,Yes,411,Level 2
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,518,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,487,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,642,Level 4
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,,,Yes,536,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,523,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,498,Level 3
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CCRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,F,Yes,,,Yes,502,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,374,Level 1
2012-13,6,M,English,TCRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,French Immersion,HRSB,F,Yes,,,Yes,464,Level 3
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,F,,,,Yes,315,Level 1
2012-13,6,M,English,HRSB,F,,,,Yes,414,Level 2
2012-13,6,M,English,CCRSB,F,,,,Yes,389,Level 2
2012-13,6,M,English,CCRSB,M,Yes,,,Yes,512,Level 3
2012-13,6,M,English,CCRSB,M,,,,Yes,420,Level 2
2012-13,6,M,English,CCRSB,M,Yes,,,Yes,322,Level 1
2012-13,6,M,English,CCRSB,M,,,,Yes,384,Level 2
2012-13,6,M,English,AVRSB,M,,,Yes,No,,Did not participate
2012-13,6,M,English,HRSB,M,,,,Yes,476,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,334,Level 1
2012-13,6,M,English,HRSB,M,,,,Yes,537,Level 3
2012-13,6,M,English,CCRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,F,,,,Yes,493,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,279,Level 1
2012-13,6,M,English,HRSB,M,Yes,,,Yes,573,Level 3
2012-13,6,M,English,CCRSB,M,,,,Yes,288,Level 1
2012-13,6,M,English,TCRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,TCRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,Yes,,,Yes,510,Level 3
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,,,Yes,424,Level 2
2012-13,6,M,English,AVRSB,M,,,,Yes,499,Level 3
2012-13,6,M,English,TCRSB,M,,,,Yes,520,Level 3
2012-13,6,M,English,CCRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,French Immersion,HRSB,M,,,,Yes,429,Level 2
2012-13,6,M,English,HRSB,M,,,,Yes,493,Level 3
2012-13,6,M,English,CCRSB,M,,,,Yes,373,Level 1
2012-13,6,M,English,CCRSB,M,,,,Yes,481,Level 3
2012-13,6,M,English,SSRSB,M,,,,Yes,328,Level 1
2012-13,6,M,English,CCRSB,M,,,,Yes,473,Level 3
2012-13,6,M,English,CCRSB,F,,,,Yes,414,Level 2
2012-13,6,M,English,SRSB,F,Yes,,,Yes,479,Level 3
2012-13,6,M,English,CBVRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CBVRSB,F,,,,Yes,305,Level 1
2012-13,6,M,English,TCRSB,M,,,,Yes,362,Level 1
2012-13,6,M,English,CCRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,SRSB,F,,,,Yes,437,Level 2
2012-13,6,M,English,CBVRSB,M,,,,Yes,677,Level 4
2012-13,6,M,English,CBVRSB,M,Yes,,,Yes,296,Level 1
2012-13,6,M,English,TCRSB,M,,,,Yes,320,Level 1
2012-13,6,M,English,CCRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,CBVRSB,M,,,,Yes,329,Level 1
2012-13,6,M,English,HRSB,F,,,,Yes,342,Level 1
2012-13,6,M,English,CCRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,,,Yes,531,Level 3
2012-13,6,M,English,CCRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,AVRSB,M,,,Yes,No,,Did not participate
2012-13,6,M,English,CBVRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,CBVRSB,M,,,Yes,No,,Did not participate
2012-13,6,M,English,TCRSB,M,,,,Yes,433,Level 2
2012-13,6,M,English,TCRSB,M,,,,Yes,630,Level 4
2012-13,6,M,English,HRSB,M,,,,Yes,440,Level 2
2012-13,6,M,English,SRSB,F,,,,Yes,550,Level 3
2012-13,6,M,English,CCRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CCRSB,F,,,,Yes,281,Level 1
2012-13,6,M,English,HRSB,F,,,,Yes,342,Level 1
2012-13,6,M,French Immersion,AVRSB,M,,,,Yes,543,Level 3
2012-13,6,M,English,CBVRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CBVRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CBVRSB,F,,,,Yes,416,Level 2
2012-13,6,M,English,CBVRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CBVRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,CBVRSB,M,Yes,,,Yes,471,Level 3
2012-13,6,M,English,CBVRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,TCRSB,F,,,,Yes,390,Level 2
2012-13,6,M,English,TCRSB,M,,,,Yes,270,Level 1
2012-13,6,M,English,TCRSB,M,,,,Yes,437,Level 2
2012-13,6,M,English,TCRSB,M,,,,Yes,438,Level 2
2012-13,6,M,English,TCRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,Yes,,,Yes,418,Level 2
2012-13,6,M,English,AVRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CCRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CCRSB,M,,,,Yes,242,Level 1
2012-13,6,M,English,CCRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,CCRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,SSRSB,M,,,,Yes,370,Level 1
2012-13,6,M,English,HRSB,F,,,,Yes,508,Level 3
2012-13,6,M,English,TCRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CCRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CCRSB,F,,,,Yes,431,Level 2
2012-13,6,M,English,CCRSB,M,,,,Yes,298,Level 1
2012-13,6,M,English,CCRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,TCRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,TCRSB,M,,,,Yes,474,Level 3
2012-13,6,M,English,TCRSB,M,,,,Yes,436,Level 2
2012-13,6,M,English,TCRSB,M,,,,Yes,386,Level 2
2012-13,6,M,English,TCRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,AVRSB,M,,,,Yes,497,Level 3
2012-13,6,M,English,TCRSB,M,,,,Yes,450,Level 3
2012-13,6,M,English,TCRSB,F,,,,Yes,500,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,443,Level 2
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,404,Level 2
2012-13,6,M,English,HRSB,M,,,,Yes,618,Level 3
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,CCRSB,F,,,,Yes,288,Level 1
2012-13,6,M,English,CCRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,,Yes,No,,Did not participate
2012-13,6,M,English,TCRSB,M,,,,Yes,389,Level 2
2012-13,6,M,English,TCRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,TCRSB,M,,,,Yes,283,Level 1
2012-13,6,M,English,AVRSB,F,,,,Yes,463,Level 3
2012-13,6,M,English,TCRSB,M,Yes,,,Yes,277,Level 1
2012-13,6,M,English,AVRSB,M,Yes,,,Yes,419,Level 2
2012-13,6,M,English,AVRSB,M,,,,Yes,513,Level 3
2012-13,6,M,English,SRSB,M,,,,Yes,457,Level 3
2012-13,6,M,English,TCRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,,,Yes,401,Level 2
2012-13,6,M,English,HRSB,M,,,,Yes,436,Level 2
2012-13,6,M,English,HRSB,F,,,,Yes,323,Level 1
2012-13,6,M,English,AVRSB,F,,,,Yes,363,Level 1
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,Yes,,,Yes,,Not enough evidence
2012-13,6,M,English,HRSB,M,,,,Yes,403,Level 2
2012-13,6,M,English,TCRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CCRSB,F,,,,Yes,301,Level 1
2012-13,6,M,English,HRSB,M,,,,Yes,577,Level 3
2012-13,6,M,English,CCRSB,M,,,,Yes,397,Level 2
2012-13,6,M,English,CBVRSB,M,,,,Yes,573,Level 3
2012-13,6,M,French Immersion,AVRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,,,Yes,532,Level 3
2012-13,6,M,English,CCRSB,M,,,,Yes,371,Level 1
2012-13,6,M,English,AVRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,F,,,,Yes,503,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,418,Level 2
2012-13,6,M,English,HRSB,F,,,,Yes,367,Level 1
2012-13,6,M,English,CCRSB,M,,,,Yes,336,Level 1
2012-13,6,M,English,HRSB,F,,,,Yes,448,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,333,Level 1
2012-13,6,M,English,SSRSB,F,,,,Yes,354,Level 1
2012-13,6,M,English,HRSB,F,,,,Yes,,Not enough evidence
2012-13,6,M,English,AVRSB,M,,,,Yes,526,Level 3
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,639,Level 4
2012-13,6,M,English,HRSB,F,,,,Yes,412,Level 2
2012-13,6,M,English,HRSB,F,,,,Yes,347,Level 1
2012-13,6,M,English,HRSB,M,,,,Yes,415,Level 2
2012-13,6,M,English,HRSB,F,,,,Yes,387,Level 2
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,CBVRSB,F,,,,Yes,544,Level 3
2012-13,6,M,English,CBVRSB,F,,,,Yes,491,Level 3
2012-13,6,M,English,CBVRSB,M,,,,Yes,344,Level 1
2012-13,6,M,English,CBVRSB,M,,,,Yes,395,Level 2
2012-13,6,M,English,CBVRSB,M,,,,Yes,483,Level 3
2012-13,6,M,English,CBVRSB,F,,,,Yes,506,Level 3
2012-13,6,M,English,SRSB,F,,,,Yes,551,Level 3
2012-13,6,M,English,CBVRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CBVRSB,M,,,,Yes,311,Level 1
2012-13,6,M,English,CBVRSB,M,,,,Yes,476,Level 3
2012-13,6,M,English,CBVRSB,M,,,,Yes,652,Level 4
2012-13,6,M,English,CBVRSB,F,,,,Yes,430,Level 2
2012-13,6,M,English,CBVRSB,F,,,,Yes,485,Level 3
2012-13,6,M,English,TCRSB,M,,,,Yes,391,Level 2
2012-13,6,M,English,TCRSB,M,,,,Yes,561,Level 3
2012-13,6,M,English,TCRSB,M,,,,Yes,527,Level 3
2012-13,6,M,English,TCRSB,F,,,,Yes,579,Level 3
2012-13,6,M,English,TCRSB,F,,,,Yes,595,Level 3
2012-13,6,M,English,TCRSB,F,,,,Yes,412,Level 2
2012-13,6,M,English,TCRSB,M,,,,Yes,361,Level 1
2012-13,6,M,English,TCRSB,F,,,,Yes,473,Level 3
2012-13,6,M,English,TCRSB,F,,,,Yes,507,Level 3
2012-13,6,M,English,TCRSB,F,,,,Yes,261,Level 1
2012-13,6,M,English,HRSB,F,,,,Yes,308,Level 1
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CCRSB,F,,,,Yes,405,Level 2
2012-13,6,M,English,HRSB,M,,,,Yes,494,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,413,Level 2
2012-13,6,M,English,HRSB,M,,,,Yes,352,Level 1
2012-13,6,M,English,CBVRSB,M,,,,Yes,479,Level 3
2012-13,6,M,English,CBVRSB,M,,,,Yes,437,Level 2
2012-13,6,M,English,CBVRSB,M,Yes,,,Yes,377,Level 2
2012-13,6,M,English,CBVRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CBVRSB,F,,,,Yes,365,Level 1
2012-13,6,M,English,CBVRSB,M,,,,Yes,484,Level 3
2012-13,6,M,English,CBVRSB,F,,,,Yes,454,Level 3
2012-13,6,M,English,CBVRSB,M,,,,Yes,553,Level 3
2012-13,6,M,English,CBVRSB,F,,,,Yes,269,Level 1
2012-13,6,M,English,CBVRSB,M,,,,Yes,597,Level 3
2012-13,6,M,English,CBVRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CBVRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,CBVRSB,M,,,,Yes,574,Level 3
2012-13,6,M,English,CBVRSB,M,,,,Yes,412,Level 2
2012-13,6,M,English,CBVRSB,M,,,,Yes,628,Level 4
2013-14,6,M,English,SSRSB,F,,,,Yes,320,Level 1
2012-13,6,M,English,SSRSB,F,,,,Yes,583,Level 3
2012-13,6,M,English,SSRSB,F,,,,Yes,597,Level 3
2012-13,6,M,English,SSRSB,F,,,,Yes,763,Level 4
2012-13,6,M,English,TCRSB,M,,,,Yes,490,Level 3
2012-13,6,M,French Immersion,TCRSB,M,,,,Yes,392,Level 2
2012-13,6,M,English,TCRSB,F,,,,Yes,558,Level 3
2012-13,6,M,English,TCRSB,M,,,,Yes,332,Level 1
2012-13,6,M,English,TCRSB,M,,,,Yes,441,Level 2
2012-13,6,M,English,TCRSB,F,,,,Yes,598,Level 3
2012-13,6,M,English,TCRSB,F,,,,Yes,443,Level 2
2012-13,6,M,English,TCRSB,M,,,,Yes,556,Level 3
2012-13,6,M,English,SRSB,M,,,,Yes,664,Level 4
2012-13,6,M,English,SRSB,F,,,,Yes,660,Level 4
2012-13,6,M,English,SRSB,M,,,,Yes,620,Level 3
2012-13,6,M,English,SRSB,F,,,,Yes,465,Level 3
2012-13,6,M,English,SRSB,M,,,,Yes,633,Level 4
2012-13,6,M,English,SRSB,M,,,,Yes,516,Level 3
2012-13,6,M,English,SRSB,M,,,,Yes,603,Level 3
2012-13,6,M,English,SRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,SRSB,M,,,,Yes,544,Level 3
2012-13,6,M,English,SRSB,M,,,,Yes,481,Level 3
2012-13,6,M,English,SRSB,F,,,,Yes,662,Level 4
2012-13,6,M,English,SRSB,F,,,,Yes,571,Level 3
2012-13,6,M,English,SRSB,F,,,,Yes,285,Level 1
2012-13,6,M,English,HRSB,M,,,,Yes,610,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,572,Level 3
2012-13,6,M,English,CBVRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,SRSB,F,Yes,,,Yes,328,Level 1
2012-13,6,M,English,SRSB,M,,,,Yes,654,Level 4
2012-13,6,M,English,SRSB,M,,,,Yes,717,Level 4
2012-13,6,M,English,SRSB,M,Yes,,,Yes,582,Level 3
2012-13,6,M,English,SRSB,M,Yes,,,Yes,489,Level 3
2012-13,6,M,English,SRSB,F,Yes,,,Yes,452,Level 3
2012-13,6,M,English,SRSB,F,Yes,,,Yes,510,Level 3
2012-13,6,M,English,SRSB,F,,,,Yes,599,Level 3
2012-13,6,M,English,SRSB,M,,,,Yes,477,Level 3
2012-13,6,M,English,SRSB,F,,,,Yes,566,Level 3
2012-13,6,M,English,SRSB,M,,,,Yes,555,Level 3
2012-13,6,M,English,SRSB,F,,,,Yes,562,Level 3
2012-13,6,M,English,SRSB,M,,,,Yes,531,Level 3
2012-13,6,M,English,SRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,SRSB,F,,,,Yes,520,Level 3
2012-13,6,M,English,SRSB,F,,,,Yes,612,Level 3
2012-13,6,M,English,SRSB,F,,,,Yes,608,Level 3
2012-13,6,M,English,SRSB,F,,,,Yes,727,Level 4
2012-13,6,M,English,TCRSB,M,,,,Yes,666,Level 4
2012-13,6,M,English,AVRSB,M,,,,Yes,324,Level 1
2012-13,6,M,English,AVRSB,F,,,,Yes,471,Level 3
2012-13,6,M,English,AVRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,AVRSB,M,,,,Yes,378,Level 2
2012-13,6,M,English,AVRSB,F,,,,Yes,435,Level 2
2012-13,6,M,English,AVRSB,M,,,,Yes,510,Level 3
2012-13,6,M,English,AVRSB,M,,,,Yes,552,Level 3
2012-13,6,M,English,AVRSB,F,,,,Yes,384,Level 2
2012-13,6,M,English,AVRSB,M,,Yes,,No,,Did not participate
2013-14,6,M,English,HRSB,M,Yes,,,Yes,343,Level 1
2012-13,6,M,English,HRSB,F,Yes,,,Yes,315,Level 1
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,340,Level 1
2012-13,6,M,English,HRSB,M,Yes,,,Yes,450,Level 3
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,F,,,,Yes,396,Level 2
2012-13,6,M,English,HRSB,F,,,,Yes,344,Level 1
2012-13,6,M,English,HRSB,F,,,,Yes,434,Level 2
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,407,Level 2
2012-13,6,M,English,HRSB,M,,,,Yes,350,Level 1
2012-13,6,M,English,HRSB,F,,,,Yes,544,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,389,Level 2
2012-13,6,M,English,HRSB,F,,,,Yes,336,Level 1
2012-13,6,M,English,HRSB,M,,,,Yes,551,Level 3
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,580,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,436,Level 2
2012-13,6,M,English,HRSB,F,,,,Yes,429,Level 2
2012-13,6,M,English,HRSB,M,,,,Yes,498,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,334,Level 1
2012-13,6,M,English,TCRSB,F,,,,Yes,524,Level 3
2012-13,6,M,French Immersion,AVRSB,M,,,,Yes,443,Level 2
2012-13,6,M,English,AVRSB,M,,,,Yes,651,Level 4
2012-13,6,M,English,AVRSB,F,,,,Yes,619,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,620,Level 3
2012-13,6,M,English,AVRSB,F,,,,Yes,643,Level 4
2012-13,6,M,English,AVRSB,F,Yes,,,Yes,367,Level 1
2012-13,6,M,English,AVRSB,M,,,,Yes,570,Level 3
2012-13,6,M,English,SRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,CCRSB,F,,,,Yes,517,Level 3
2012-13,6,M,French Immersion,CCRSB,F,,,,Yes,507,Level 3
2012-13,6,M,English,CCRSB,F,Yes,,,Yes,396,Level 2
2012-13,6,M,English,CCRSB,F,,,,Yes,437,Level 2
2012-13,6,M,English,CCRSB,M,,,,Yes,444,Level 3
2012-13,6,M,English,AVRSB,F,,,,Yes,466,Level 3
2012-13,6,M,English,CCRSB,F,,,,Yes,511,Level 3
2012-13,6,M,English,CCRSB,M,,,,Yes,518,Level 3
2012-13,6,M,English,CCRSB,M,,,,Yes,268,Level 1
2012-13,6,M,French Immersion,CCRSB,F,,,,Yes,561,Level 3
2012-13,6,M,English,CCRSB,F,,,,Yes,584,Level 3
2012-13,6,M,English,CCRSB,F,,,,Yes,586,Level 3
2012-13,6,M,English,CCRSB,F,,,,Yes,498,Level 3
2012-13,6,M,French Immersion,CCRSB,F,,,,Yes,575,Level 3
2012-13,6,M,English,CCRSB,M,,,,Yes,655,Level 4
2012-13,6,M,English,AVRSB,F,,,,Yes,419,Level 2
2012-13,6,M,English,AVRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,AVRSB,F,,,,Yes,353,Level 1
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,567,Level 3
2012-13,6,M,French Immersion,AVRSB,F,,,,Yes,449,Level 3
2012-13,6,M,English,AVRSB,M,Yes,,,Yes,255,Level 1
2012-13,6,M,English,AVRSB,M,,,,Yes,506,Level 3
2012-13,6,M,English,AVRSB,M,,,,Yes,516,Level 3
2012-13,6,M,French Immersion,AVRSB,M,,,,Yes,609,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,315,Level 1
2012-13,6,M,English,CCRSB,F,,,,Yes,553,Level 3
2012-13,6,M,English,CCRSB,F,,,,Yes,620,Level 3
2012-13,6,M,English,CCRSB,M,,,,Yes,477,Level 3
2012-13,6,M,English,CCRSB,F,,,,Yes,408,Level 2
2012-13,6,M,English,CCRSB,F,,,,Yes,599,Level 3
2012-13,6,M,English,CCRSB,M,,,,Yes,589,Level 3
2012-13,6,M,English,CCRSB,F,,,,Yes,392,Level 2
2012-13,6,M,English,CCRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,CCRSB,M,,,,Yes,371,Level 1
2012-13,6,M,English,HRSB,M,,,,Yes,503,Level 3
2012-13,6,M,English,TCRSB,M,,,,Yes,419,Level 2
2012-13,6,M,English,SRSB,M,,,,Yes,424,Level 2
2012-13,6,M,English,AVRSB,F,,,,Yes,422,Level 2
2012-13,6,M,English,HRSB,M,,,,Yes,533,Level 3
2012-13,6,M,English,SSRSB,M,,,,Yes,435,Level 2
2012-13,6,M,English,HRSB,M,,,,Yes,691,Level 4
2012-13,6,M,English,HRSB,M,,,,Yes,460,Level 3
2013-14,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,Yes,,,Yes,410,Level 2
2012-13,6,M,English,HRSB,F,,,,Yes,424,Level 2
2012-13,6,M,English,HRSB,M,,,,Yes,509,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,528,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,417,Level 2
2012-13,6,M,English,HRSB,F,,,,Yes,519,Level 3
2012-13,6,M,English,HRSB,M,,,,Yes,512,Level 3
2013-14,6,M,English,HRSB,M,,Yes,,No,,Did not participate
2012-13,6,M,English,HRSB,M,Yes,,,Yes,379,Level 2
2012-13,6,M,English,AVRSB,F,,,,Yes,460,Level 3
2012-13,6,M,English,AVRSB,M,,,,Yes,649,Level 4
2012-13,6,M,English,AVRSB,M,,,,Yes,512,Level 3
2012-13,6,M,English,AVRSB,F,,,,Yes,275,Level 1
2012-13,6,M,English,AVRSB,M,,,,Yes,535,Level 3
2012-13,6,M,French Immersion,HRSB,F,,,,Yes,584,Level 3
2012-13,6,M,English,HRSB,F,,,,Yes,439,Level 2
2012-13,6,M,English,AVRSB,F,,,,Yes,507,Level 3
2012-13,6,M,English,AVRSB,F,,,,Yes,484,Level 3
2012-13,6,M,English,HRSB,F,,Yes,,No,,Did not participate
2012-13,6,M,English,AVRSB,M,,,,Yes,630,Level 4
2012-13,6,M,English,AVRSB,F,,,,Yes,659,Level 4
2012-13,6,M,English,AVRSB,F,,,,Yes,387,Level 2
2012-13,6,M,English,CCRSB,M,,,,Yes,580,Level 3
2012-13,6,M,English,CCRSB,F,,,,Yes,459,Level 3
2012-13,6,M,English,CCRSB,F,,,,Yes,505,Level 3
2012-13,6,M,English,CCRSB,M,,,,Yes,537,Level 3
